nama_perusahaan,title,lokasi,tipe_pekerjaan,gaji,pendidikan
"PT BFI Finance Indonesia Tbk","Marketing Agency Branch Dharmasraya","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",,"Bachelor's Degree"
"CV.Dorskin Kreasi Indonesia","KOL Specialist","Ruko Dalton, Jalan Scientia Boulevard, Tangerang Kabupaten 15834, Indonesia","Full time",,
"PT BFI Finance Indonesia Tbk","Admin Magang Penempatan Tabanan","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",,"Associate's Degree"
FIFGROUP,"Data Analyst","Menara Astra (Head Office) Jalan Jenderal Sudirman KAV 5-6 10250 Tanah Abang Jakarta","Full time",,
"PT BFI Finance Indonesia Tbk","Credit Analyst Branch Depok","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322",Contractual,,"Bachelor's Degree"
"Kompas Gramedia","Corporate Sales | DQ Lab Universitas Multimedia Nusantara","Skystar Ventures Coworking Space, Jalan Scientia Boulevard, Curug Sangereng Kel., Kelapa Dua, Tangerang Kabupaten, 15834, Indonesia",Contractual,,"Bachelor's Degree"
Itsavirus,"Senior Back End Developer",,"Full time",,"Bachelor's Degree"
Asani,"IT Support Officer","Roxy Mas, Cideng Kel., Gambir","Full time",IDR,"Bachelor's Degree"
Sribu,"Business Development Specialist","Jalan KH M Syafi'i Hadzami, Kebayoran Lama Utara Kel., Kebayoran Lama","Full time",IDR,"Associate's Degree"
"Howel and Co",Videographer,"Jembatan Besi Kel., Tambora","Full time",IDR,"Bachelor's Degree"
"PT IONPay Networks (NICEPAY)","Korean Interpreter","EightyEight@Kota Kasablanka, 29th Floor, Unit A & H  Jl. Casablanca Raya Kav. 88, Tebet, Jakarta Selatan 12870, Indonesia","Full time",,"Bachelor's Degree"
ICDX,"Network Security Engineer","Midpoint Place, Jalan K H Fakhrudin, Jakarta Pusat 10250, Indonesia","Full time",,"Bachelor's Degree"
"BOSNET Distribution Indonesia","IT Business Consultant (IT Sales)","Jalan Tebet Barat Dalam Raya, Tebet Barat Kel., Tebet","Full time",,"Bachelor's Degree"
"Systems Ltd.","Senior Project Manager Temenos","Jakarta, JABODETABEK, Indonesia","Full time",IDR,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Management Trainee","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Marketing Agency cabang Mojokerto","BFI Finance, Jalan Pahlawan, Mojokerto 61321, Indonesia","Full time",,"Bachelor's Degree"
"Astra Credit Companies (ACC)","IT Security","Jl. Petung No.3-7, Papringan, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281","Full time",,"Bachelor's Degree"
"PT Bank Mandiri Taspen","Control Unit Partner Staff","31, Jalan Proklamasi, Pegangsaan Kel., Menteng","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Admin Back Office Cabang Rembang","BFI Finance Rembang Jl. Pemuda No.3B, Tawangsari, Leteh, Kec. Rembang","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Front Office Sales Advisor Branch Prabumulih","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",,"Bachelor's Degree"
"AVO Innovation Technology","Sales Trainer","Jalan Monjali, Sleman, Indonesia","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Customer Relationship Executive (Cabang Bolaang Mongondow Utara)","Jl. Trans Sulawesi, Bolangitang, Kec. Bolang Itang Barat, Kabupaten Bolaang Mongondow Utara","Full time",,"Bachelor's Degree"
"Kompas Gramedia","Marketing Strategic Planner","Jl. Palmerah Selatan No. 22-28. Jakarta, Indonesia, West Jakarta, DKI Jakarta, Indonesia","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Negosiator Penagihan Cabang Kudus","Jl. Jend. A. Yani, Krajan, Panjunan, Kec. Kota Kudus, Kabupaten Kudus","Full time",,"High School"
"PT Inti Corpora Teknologi","Frontend Developer","46, Jalan Tanah Abang 2, Petojo Selatan Kel., Gambir","Full time",IDR,"Bachelor's Degree"
"Kompas Gramedia","Account Executive at SonoraFM Jakarta","Gedung Perintis, Jalan Kebahagiaan, RT04/RW02, Krukut Kel., Tamansari, Jakarta Barat, 11140, Indonesia","Full time",,"Bachelor's Degree"
Dekoruma,"Jr Graphic Designer","Jl. Srengseng Raya No.11a, RT.2/RW.8, Srengseng, West Jakarta City, Jakarta, Indonesia",Contractual,,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Field Asset Management Penempatan Sumbawa","Jl. Diponegoro No.63, Bugis, Sumbawa, Nusa Tenggara Barat","Full time",,"Associate's Degree"
"PT. Indocyber Global Teknologi","Business Analyst (Insurance/Banking) Pakuwon Tower Recruitment Center IGLO","Pakuwon Tower - Jl Casablanca Raya Kav.88, RT.7/RW.6, Menteng Dalam, Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12870","Full time",,"Bachelor's Degree"
"Kompas Gramedia","Head of Community_Skystar Ventures at Universitas Multimedia Nusantara","Scientia Garden, Jl. Boulevard Gading Serpong, Tangerang - Banten","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Field Collector Branch Kota Pasuruan","BFI Finance KC Kota Pasuruan - Jl. Panglima Sudirman No.40A, Purworejo, Kec. Purworejo, Kota Pasuruan","Full time",IDR,"Bachelor's Degree"
Triyakom,"Bussiness Development","Jalan Jenderal Gatot Subroto, Kuningan Barat Kel., Mampang Prapatan","Full time",,"Bachelor's Degree"
"PT Inti Corpora Teknologi","Senior Business Analyst","46, Jalan Tanah Abang 2, Petojo Selatan Kel., Gambir","Full time",IDR,"Bachelor's Degree"
"PT. Indocyber Global Teknologi","QA Automation (DM)",,"Full time",,"Bachelor's Degree"
"Kompas Gramedia","Guru Informatika Jabodetabek","Jalan Palmerah Barat 29, RT04/RW02, Gelora Kel., Tanah Abang, Jakarta, 10270, Indonesia",Contractual,,"Bachelor's Degree"
"PT Bank Mandiri Taspen","Officer Development Program","31, Jalan Proklamasi, Pegangsaan Kel., Menteng","Full time",,"Bachelor's Degree"
Alodokter,"Content Writer","No. 2, Jalan Dr.Ide Anak Agung Gde Agung Kav. E 4.2, RT.5/RW.2, Kuningan, Kuningan Tim., Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12950, Indonesia",Contractual,,"Bachelor's Degree"
"PT Berlian Sistem Informasi","Data Analyst","KTB Annex Building. Jl. Jendral A. Yani Pulomas. Jakarta 13120, East Jakarta, DKI Jakarta, Indonesia","Full time",,"Bachelor's Degree"
"PT Berlian Sistem Informasi","Cloud Engineer","4, KTB Annex Building. Jl. Jendral A. Yani Pulomas. Jakarta 13120, East Jakarta, DKI Jakarta, Indonesia","Full time",,"Bachelor's Degree"
"PT IONPay Networks (NICEPAY)","Partnership Officer","EightyEight@Kota Kasablanka, 29th Floor, Unit A & H  Jl. Casablanca Raya Kav. 88, Tebet, Jakarta Selatan 12870, Indonesia","Full time",,"Bachelor's Degree"
"Systems Ltd.","Senior Techno Functional Consultant Temenos","Jakarta, JABODETABEK, Indonesia","Full time",IDR,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Management Trainee Asset Kota Palembang","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",,"Bachelor's Degree"
"Kompas Gramedia","Warehouse Attendant","Jl. Raya Rancaekek KM 24. 5 Kav. D3 & D5, Rancaekek, Sawahdadap, Kec. Cimanggung, Kabupaten Sumedang, Jawa Barat",Contractual,,"High School"
"PT BFI Finance Indonesia Tbk","Agency Relation Penempatan Gianyar","Jl. Ciung Wanara No.17, Sukawati, Gianyar, Bali","Full time",,"Associate's Degree"
"PT BFI Finance Indonesia Tbk","Management Trainee Task Force Head Office","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Admin Magang Penempatan Mataram","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",,"Associate's Degree"
FIFGROUP,"Area Instructor (ARINS)","Menara FIF (Head Office)  Jl. TB Simatupang Kav 15 Cilandak, Jakarta Selatan 12440","Full time",,"Bachelor's Degree"
"PT Berlian Sistem Informasi","Scrum Master","KTB Annex Building. Jl. Jendral A. Yani Pulomas. Jakarta 13120, East Jakarta, DKI Jakarta, Indonesia","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Management Trainee Asset Collection Lampung","Jl. Gajah Mada No.55, Kota Baru, Kec. Tanjungkarang Timur, Kota Bandar Lampung, Lampung 35121","Full time",,"Bachelor's Degree"
"Jaris & K","Account Manager","5, Jalan Cipete Raya, Cipete Selatan Kel., Cilandak","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Agency Relationship Executive Motorcycle Surabaya","Jl. Ngagel Jaya No.39, Pucang Sewu, Kec. Gubeng, Surabaya, Jawa Timur 60282","Full time",,"Bachelor's Degree"
"PT Global Urban Esensial","DevOps Engineer","Titan Center Lt. 12 |  Jl. Boulevard Bintaro Blok B7/B1 No. 5 Bintaro Jaya Sektor 7, South Tangerang, Banten, Indonesia","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Managament Trainee Verifikator Jabodetabek","Ruko Suncity Square, Marga Jaya Kel., Bekasi Selatan, Bekasi Kota, 17141, Indonesia","Full time",IDR,"Bachelor's Degree"
Accenture,"Java Spring Boot Developer","Wisma 46 Kota BNI—18th floor, Jl. Jendral Sudirman Kav. 1, Jakarta, DKI Jakarta 10220","Full time",,"Bachelor's Degree"
FIFGROUP,"Litigation Officer","Menara FIF (Head Office)  Jl. TB Simatupang Kav 15 Cilandak, Jakarta Selatan 12440","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Marketing Agency Cabang Jepara","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",,"Vocational course"
"Kompas Gramedia","Fisioterapi Okupasi","Jl. Palmerah Selatan No. 22-28. Jakarta, Indonesia, West Jakarta, DKI Jakarta, Indonesia","Full time",,"Vocational course"
"Kompas Gramedia","Maintenance Technician","Jl. Rungkut Industri III No.68-70, Rungkut Tengah, Kec. Gn. Anyar, Surabaya, Jawa Timur 60293",Contractual,,"Bachelor's Degree"
"Kompas Gramedia","Data Analyst KG Media","Jl. Palmerah Selatan No. 22-28. Jakarta, Indonesia, West Jakarta, DKI Jakarta, Indonesia","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Management Trainee (Credit Analyst) CMTP","BFI Finance Palu Kredit Sepeda Motor, Kredit Mobil  Alamat : Ruko Moh. Hatta Center Jl. Dr. Moh. Hatta No. 21 D-E RT 11, RW 03, Kel. Besusu Tengah, Kec. Palu Timur Kota Palu 94111 No. Telepon : (0451) 422 678, Fax : (0451) 426 875","Full time",,"Bachelor's Degree"
Dekoruma,"Sales Design Advisor","Jl. Srengseng Raya No.11a, RT.2/RW.8, Srengseng, West Jakarta City, Jakarta, Indonesia",Contractual,,"High School"
"PT BFI Finance Indonesia Tbk","Penagihan Lapangan Pembiayaan Jakarta Barat","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",,"Bachelor's Degree"
"PT Berlian Sistem Informasi","Product Owner","KTB Annex Building. Jl. Jendral A. Yani Pulomas. Jakarta 13120, East Jakarta, DKI Jakarta, Indonesia","Full time",,"Bachelor's Degree"
"Wistkey Technologies Limited","Blockchain Developer | Remote Job, International Company",,"Full time",USD,"Bachelor's Degree"
"Nomura Research Institute Indonesia","Frontend Engineer (Flutter)","Karet Tengsin Kel., Tanah Abang",Contractual,IDR,"Bachelor's Degree"
"SMS Perkasa (PT Sumber Makmur Surya Perkasa)","Transport Coordinator","51, Jalan Bkr Pelajar, Ketabang Kel., Genteng","Full time",,"Associate's Degree"
"Pura Group","Mechanical Engineer","77, Jalan Kresna, Jati Wetan Kel., Jati","Full time",,"Associate's Degree"
"Kompas Gramedia","Freelance Sekretaris Redaksi KOMPAS.com","Jl. Palmerah Selatan No. 22-28. Jakarta, Indonesia, West Jakarta, DKI Jakarta, Indonesia","Full time",,"Bachelor's Degree"
Dekoruma,"Drafter Intern Semarang","Jl. Ahmad Yani No.136C, Karangkidul, Kec. Semarang Tengah, Kota Semarang, Jawa Tengah 50136",Contractual,,"Bachelor's Degree"
TaxPrime,"Head of Sales & Marketing","Jalan H R Rasuna Said, Karet Kuningan Kel., Setiabudi","Full time",,"Bachelor's Degree"
"Kompas Gramedia","Secretary Gramedia x Kadokawa","Jalan Palmerah Barat 29, RT04/RW02, Gelora Kel., Tanah Abang, Jakarta Pusat, 10270, Indonesia","Full time",,"Bachelor's Degree"
"Kompas Gramedia","Business Development Executive",,"Full time",,"Bachelor's Degree"
"Systems Ltd.","Senior Transact Developer","Jakarta, JABODETABEK, Indonesia","Full time",IDR,"Bachelor's Degree"
"PT. Adicipta Inovasi Teknologi (AdIns)","Data Analytics Manager","Jl. Raya Kb. Jeruk No.80, RT.7/RW.1, Kb. Jeruk, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11530, Indonesia","Full time",IDR,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Marketing Agency (Car and Motorcycle Product) Penempatan Pekalongan","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",IDR,"High School"
"PT BFI Finance Indonesia Tbk","Management Trainee Verifikator Lampung","Jl. Gajah Mada No.55, Kota Baru, Kec. Tanjungkarang Timur, Kota Bandar Lampung, Lampung 35121","Full time",,"Bachelor's Degree"
"BOSNET Distribution Indonesia","Software Developer","Jalan Tebet Barat Dalam Raya, Tebet Barat Kel., Tebet","Full time",,"Associate's Degree"
"PT BFI Finance Indonesia Tbk","Verifikator Motorcyle Branch Depok","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",,"Associate's Degree"
"PT BFI Finance Indonesia Tbk","Operation Quality Assurance Data Analyst","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",,"Bachelor's Degree"
"Kompas Gramedia","Lecturer in Film - Universitas Multimedia Nusantara","Scientia Garden, Jl. Boulevard Gading Serpong. Tangerang","Full time",,"Master's Degree"
"Aleph Labs","Drupal Developer [Contract Based]","Jalan Gatot Subroto, RT.3/RW.3, Kuningan, East Kuningan, South Jakarta City, Jakarta, Indonesia",Contractual,,"Bachelor's Degree"
"Kompas Gramedia","Business Development Executive","Jl. Palmerah Selatan No. 22-28. Jakarta, Indonesia, West Jakarta, DKI Jakarta, Indonesia","Full time",,"Bachelor's Degree"
"PT. Indocyber Global Teknologi","Business System Analyst (Insurance/Banking) DM",,Contractual,,"Bachelor's Degree"
FIFGROUP,"Accounting Specialist","Astra Tower, Jalan Jenderal Sudirman, RT10/RW11, Karet Tengsin Kel., Tanah Abang, Jakarta Pusat, 10220, Indonesia","Full time",,
"Aleph Labs","Java Developer (Contract Based)","Jalan Jenderal Gatot Subroto, Karet Semanggi Kel., Setiabudi",Contractual,,"Bachelor's Degree"
"Kompas Gramedia","Event Executor at Harian Kompas","Jl. Palmerah Selatan No. 22-28. Jakarta, Indonesia, West Jakarta, DKI Jakarta, Indonesia",Contractual,,"Bachelor's Degree"
"Kompas Gramedia","Store Supervisor - Gramedia Pamulang",Palmerah,"Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Management Trainee Asset Management Penagihan","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",,"Bachelor's Degree"
"Kompas Gramedia","Product Officer at KG Radio Network","Gedung Perintis, Jalan Kebahagiaan, RT04/RW02, Krukut Kel., Tamansari, Jakarta Barat, 11140, Indonesia",Contractual,,"Bachelor's Degree"
"PT. Jaya Kreasi Indonesia",Tax,"Serpong Utara, Tangerang Selatan, JABODETABEK, Indonesia",Contractual,,"Bachelor's Degree"
FIFGROUP,"Joint Finance Specialist","Menara FIF (Head Office)  Jl. TB Simatupang Kav 15 Cilandak, Jakarta Selatan 12440","Full time",,
"Kompas Gramedia","Student Support Officer at Universitas Multimedia Nusantara","Jalan Scientia Boulevard Gading, Curug Sangereng, Serpong, Kabupaten Tangerang, Banten 15810","Part time",,"Master's Degree"
"PT BFI Finance Indonesia Tbk","Marketing Agency Gresik","Tanjung Permai Regency, Jalan Kpt Dulasim Rotan, Singosari Kel., Kebomas, Gresik, 61121, Indonesia","Full time",,"Bachelor's Degree"
Renos.id,"Business Project Manager","Kuningan Timur Kel., Setiabudi","Full time",,"Bachelor's Degree"
KSPS,"Account Executive Mandarin Speaker","Blok A. 9, Jl. Lb. Bulus I No.12, RT.4/RW.6, Lb. Bulus, Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12440, Indonesia","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Management Trainee Collection Area Sulselbar","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Branch Implementation and Incentive Management Specialist","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Collector Penempatan Lombok Barat","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",,"Associate's Degree"
"Astra Credit Companies (ACC)","Junior Leadership Development Program","Jalan TB Simatupang Kav. 90. Jakarta Selatan. DKI Jakarta","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Customer Service Branch Malang","BFI Finance KC Malang Kota - Jl. Tumenggung Suryo No. 42, Bunulrejo, Kec. Blimbing, Kota Malang","Full time",IDR,"Bachelor's Degree"
TaxPrime,"Project Tracker","Jalan H R Rasuna Said, Karet Kuningan Kel., Setiabudi","Full time",,"Bachelor's Degree"
"Bussan Auto Finance","Management Development Program","Jl. Tj. Barat Raya No.121, RT.14/RW.04, Kel, RT.8/RW.4, Tj. Bar., Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12530, Indonesia","Full time",,"Bachelor's Degree"
"Kompas Gramedia","Guru Komputer Jakarta","Jl. Palmerah Barat No. 29-37, Jakarta, 10270 (Gedung Kompas Gramedia, Lt.4)","Full time",,"Bachelor's Degree"
"Mitramas Infosys Global","Associate Product Manager","Jalan Tebet Raya No.42, RT.3/RW.2, East Tebet, South Jakarta City, Jakarta, Indonesia","Full time",IDR,"Bachelor's Degree"
"Nomura Research Institute Indonesia","Professional Product Owner (PO)","Karet Tengsin Kel., Tanah Abang","Full time",IDR,"Bachelor's Degree"
Dekoruma,"Drafter Interior Residential Surabaya","Jl. Mayjen HR. Muhammad No.96, Pradahkalikendal, Kec. Dukuhpakis, Surabaya, Jawa Timur 60226",Contractual,,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Marketing Agency Surabaya Sukomanunggal","Jl. Pattimura No.14, RT.06/RW.06, Sonokwijenan, Kec. Sukomanunggal, Surabaya, Jawa Timur 60189","Full time",,"Bachelor's Degree"
Alodokter,"Junior Data Engineer","No. 2, Jalan Dr.Ide Anak Agung Gde Agung Kav. E 4.2, RT.5/RW.2, Kuningan, Kuningan Tim., Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12950, Indonesia","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Marketing Agency (Galaxy & Harapan Indah)","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Marketing Agency (Car and Motorcycle Product) Penempatan Kebumen","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",IDR,"High School"
"PT Bumi Amartha Teknologi Mandiri","Project Manager","Jalan Jenderal Sudirman, Karet Kel., Setiabudi","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Central Operation Leader","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",,"Bachelor's Degree"
"Kompas Gramedia","Data Scientist KG Media","Jl. Palmerah Selatan No. 22-28. Jakarta, Indonesia, West Jakarta, DKI Jakarta, Indonesia",Contractual,,"Bachelor's Degree"
"Kompas Gramedia","Lecturer in Informatics - Universitas Multimedia Nusantara","Scientia Garden, Jl. Boulevard Gading Serpong. Tangerang","Full time",,Doctorate
"Kompas Gramedia","Business Development Executive","Jl. Palmerah Selatan No. 22-28. Jakarta, Indonesia, West Jakarta, DKI Jakarta, Indonesia","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Centralized Processing Team Leader","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",,"Bachelor's Degree"
"Aleph Labs","iOS Developer","Jl. Gatot Subroto, RT.3/RW.3, Kuningan, East Kuningan, South Jakarta City, Jakarta, Indonesia",Contractual,,"Bachelor's Degree"
"Kompas Gramedia","Marketing Creative Planne","Jl. Palmerah Selatan No. 22-28. Jakarta, Indonesia, West Jakarta, DKI Jakarta, Indonesia","Full time",,"Bachelor's Degree"
Dekoruma,"Drafter Interior Residential Jakarta","Jl. Jend. Sudirman No.1078, Sungai Pangeran, Kec. Ilir Tim. I, Kota Palembang, Sumatera Selatan 30121",Contractual,,"Bachelor's Degree"
"Aleph Labs","UI/UX Designer (Contract Based)","Jalan Jenderal Gatot Subroto, Karet Semanggi Kel., Setiabudi",Contractual,,"Bachelor's Degree"
SKINTIFIC,"Host Live Streaming","Jalan Dr Ide Anak Agung Gde Agung, Kuningan Timur Kel., Setiabudi",Contractual,,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Marketing Agency ARE Area Tangerang","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322",Contractual,,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Agency Relationship Executive BFI Cabang Bitung","Jl. Wolter Monginsidi No.45, Kel. Girian Bawah, Kec. Girian, Kota Bitung","Full time",IDR,"High School"
"Kompas Gramedia","Account Executive KG Media","Jl. Palmerah Selatan No. 22-28. Jakarta, Indonesia, West Jakarta, DKI Jakarta, Indonesia","Full time",,"Bachelor's Degree"
"Siloam Hospitals Group","IT Operation Support Staff","Cipondoh Indah Kel., Cipondoh",Contractual,IDR,"Bachelor's Degree"
FIFGROUP,"Junior Officer Development Program","Menara FIF (Head Office)  Jl. TB Simatupang Kav 15 Cilandak, Jakarta Selatan 12440","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Management Trainee Credit Analyst Alat Berat dan Machinery","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",,"Bachelor's Degree"
"PT Bumi Amartha Teknologi Mandiri","IT Business Analyst","Jalan Jenderal Sudirman, Karet Kel., Setiabudi","Full time",,"Bachelor's Degree"
FinAccel,"Software Engineer, Data","Dipo Tower, Jl. Gatot Subroto No.Kav 50-52, RW.7, Petamburan, Kecamatan Tanah Abang, Jakarta, Daerah Khusus Ibukota Jakarta 10260","Full time",,"Bachelor's Degree"
"Magna Solusi Indonesia","Account Executive","88, Jalan Casablanca, Menteng Dalam Kel., Tebet","Full time",IDR,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Management Trainee Marketing Kota Palembang","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Field Collection Penempatan Banjarnegara","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",IDR,"High School"
"Kompas Gramedia","Retail Channel & Distribution Superintendent","Jalan Palmerah Barat 29, RT04/RW02, Gelora Kel., Tanah Abang, Jakarta Pusat, 10270, Indonesia","Full time",,"Bachelor's Degree"
"PT. Tiki Jalur Nugraha Ekakurir (JNE)",Telesales,,"Full time",,"Associate's Degree"
"SMS Perkasa (PT Sumber Makmur Surya Perkasa)","Warehouse Coordinator","Jalan Palem Manis Raya, Gandasari Kel., Jati Uwung, Tangerang Kota, 15137, Indonesia","Full time",,"Bachelor's Degree"
"Kompas Gramedia","Internal Auditor [Corporate Comptroller]","Jl. Palmerah Selatan No. 22-28. Jakarta, Indonesia, West Jakarta, DKI Jakarta, Indonesia","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Field Collection Motorcycle Penempatan Indramayu","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",IDR,"High School"
"Home Credit Indonesia","Finance Business Partner","Plaza Oleos, South Jakarta, DKI Jakarta, Indonesia","Full time",,"Bachelor's Degree"
"PT Global Urban Esensial","Freelance QC GoApotik","Titan Center Lt. 12 |  Jl. Boulevard Bintaro Blok B7/B1 No. 5 Bintaro Jaya Sektor 7, South Tangerang, Banten, Indonesia",Freelance,,"Bachelor's Degree"
"PT. Bank BCA Syariah","Full Stack Developer","72, Jalan Jatinegara Timur, Bali Mester Kel., Jatinegara","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Principal Backend Engineer","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",,"Bachelor's Degree"
Code.id,".Net Developer","Jalan Letjen. S. Parman, Tanjung Duren Selatan Kel., Grogol Petamburan","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Management Trainee Marketing","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Agency Relationship Executive Car Surabaya","Jl. Ngagel Jaya No.39, Pucang Sewu, Kec. Gubeng, Surabaya, Jawa Timur 60282","Full time",,"Bachelor's Degree"
