pt,title,lokasi,gaji,level,pendidikan,tipe_pekerjaan,description,link,post_date
"Mojiyama Florist","Staff Warehouse","Jakarta Barat",Negosiasi,"Junior / Entry Level","SMA / SMK / STM","Purna Waktu / Full Time","Mojiyama Florist membutuhkan Staff Warehouse untuk mengelola Stock Distribusi dari barang diterima hingga keluar

Tanggung Jawab Pekerjaan :

Mengelola Stock Distribusi dari barang diterima hingga keluar
Melakukan Pengecekkan Barang masuk & keluar barang (Quality Control)
Melakukan Packing untuk proses distribusi barang
Merawat dan Melakukan Penataan Produk Barang Fresh
Melakukan Stock Opname dari menerima hingga menghitung proses barang masuk keluar Gudang
Menjaga serta bertanggung jawab atas Kebersihan & Keamanan Area Pergudangan

Keahlian :

Ahli Packing
Ahli menghitung
Ahli melakukan stock opname
Ahli menata barang
Mampu menggunakan sistem komputerisasi merupakan nilai plus

Kualifikasi :

Pria
Mampu berkomunikasi dengan baik dalam tim dan melayani customer
Pengalaman minimal 1 tahun

Waktu Bekerja :
Senin Jumat 6.00 – 17.00 Sabtu 6.00 – 15.30 Minggu Libur",https://www.loker.id/transportation-logistics/warehouse/staff-warehouse-mojiyama-florist-jakarta-barat.html,"Updated:  April 29, 2024"
"PT. RAJAWALI LINTAS SAMUDERA","Sales Representative EMKL","Jakarta Utara","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1","1.	Kami PT. Rajawali Lintas Samudera, Rajawali Group merupakan perusahaan yang bergerak dalam bidang Transportasi ( Freight Forwarding ) jalur laut untuk Domestik, Eksport/Import, Trucking, Logistic saat ini sedang membutuhkan tenaga Staff Sales Representative EMKL.

Tanggung Jawab Pekerjaan :

1. Memasarkan Produk atau Jasa kepada Konsumen yang sudah tidak aktif atau konsumen baru.
2. Menambah Muatan atau port baru kepada konsumen yang sedang berjalan.
3. Mencapai target penjualan sesuai yang sudah ditetapkan perusahaan.
4. Memberikan jadwal kapal kepada setiap konsumen
5. Menjadi penghubung antara ketentuan perusahaan dengan kebutuhan konsumen.

Keahlian :

– Menguasai Microsoft Office
– Berkomunikasi yang baik kepada customer/pelanggan
– Kerjasama dan Negosiasi

Kualifikasi :

– SMK (Pengalaman min 1 tahun/ Diploma)
– Usia min 20 tahun
– Kemampuan dalam bekerja secara tim.
– Kemampuan analisa, bernegosiasi dan berkomunikasi.
– Mampu melakukan analisa kompetitor.",https://www.loker.id/penjualan/akun-dan-relasi/sales-representative-emkl-pt-rajawali-lintas-samudera-jakarta-utara.html,"Posted Date: April 25, 2024"
"Jatiluhur Glass",Administrasi,"Jakarta Utara","Rp.1 - 2 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM","PT.Jatiluhur Jaya Raya perusahaan bergerak di bidang pemasangan kaca dan aluminium membutuhkan staff administrasi yang akan bertugas mengurus aktifitas pembelian,penjualan, dan biaya operasional perusahaan.

Tanggung Jawab Pekerjaan :

1.Menginput data pembelian(Purchase Order,Purchase Service,Bill)
2. Menginput data Petty Cash
3.Membuat Invoice tagihan kepada Customer
4.Mengarsip dokumen Pembelian,Petty Cash, dan Panjualan
5.Membuat surat jalan keluar barang

Keahlian :

1.Mengusai Microsoft Office (Excel dan Word)
2.Komunikatif

Kualifikasi :

1.Wanita, usia 19-25 Tahun
2.Fresh graduate silahkan melamar

Waktu Bekerja :
jam 8-17, Senin-Jumat",https://www.loker.id/administrasi/staf-admin/administrasi-jatiluhur-glass-jakarta-utara.html,"Posted Date: April 25, 2024"
"Amaranggana Batik","Digital Marketing","Jakarta Selatan",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1","Amaranggana Batik, merupakan rumah perusahaan independen bergerak dalam kerajinan batik yang dalam ekspansinya membutuhkan team staff dalam penguasaan bidang Digital Marketing. Guna memaksimalkan potensi perusahaan.

Tanggung Jawab Pekerjaan :

        – Ads Manager (Facebook/ Instagram, media terkait lainnya)
        – Produksi Digital Content (Photograpy / Grafis)
        – Social Media Manager (Instagram)
        – Pemahaman pengetahuan produk secara menyeluruh.

Keahlian :

	– Copywriting: Inggris/ Indonesia (basic-intermediate).
	– Photography (intermediate).
	– Grafis (intermediate-advance) (Photoshop / Illustrator).
	– Communication & Teamwork.

Kualifikasi :

– Laki-laki / Perempuan: 20-35th
– Pendidikan SMK/D3/S1
– Pengalaman 

Waktu Bekerja :
Senin- Jumat:  8.30 -18.00 / Sabtu – Minggu: (flexible for extra shift)
Tunjangan :

(dibicarakan ditempat)

Insentif :

(dibicarakan ditempat)",https://www.loker.id/pemasaran/pemasaran-digital/digital-marketing-amaranggana-batik-jakarta-selatan.html,"Posted Date: April 25, 2024"
"Kidsworld Play and Learn","Staff Kurir / Driver Motor","Jakarta Pusat","Rp.2 – 3 Juta","Junior / Entry Level","SMA / SMK / STM",Freelance,"Kidsworld Play n Learnadalah sarana tempat bermain anak-anak seperti kereta api, animal ride, playground, penyelenggara pameran animal exotic dan lainnya. Pameran Animal Exotic sedang berkembang pesat seperti Horse Riding, Feeding Merino Sheep, Feeding Flemish Giant Rabbit, maupun Ride Mini Farm Train.  Adapun jika pameran animal exotic sedang berlangsung banyak barang atau kebutuhan pakan yang perlu di kirim ke lokasi event.Seiring dengan berkembangnya perusahaan, kami sedang membutuhkan karyawan di bagian Kurir / Driver Motor.

Tanggung Jawab Pekerjaan :

1. Bertanggung jawab setiap pekerjaan kepada Manager Operasional.
2. Mengantarkan setiap dokumen, pakan, barang kebutuhan event jika dibutuhkan segera.
3. Bekerjasama dengan bagian Operasional.
4. Memastikan kondisi barang tetap terjaga selama proses pengiriman.

Keahlian :

1. Menguasai jalan Jabodetabek
2. Mampu Berkendara dengan baik
3. Dapat membaca peta (google maps)

Kualifikasi :

1. Pria
2. Usia 20 – 35 tahun
3. Memiliki Sim C aktif
4. Memiliki motor pribadi
5. Pendidikan MIn SMA/SMK (Fresh Graduate / Pengalaman mininum 1 Tahun diutamakan)

Waktu Bekerja :
Jam 08.30 s/d 18.00
Tunjangan :

1. Dapat konsumsi
2. Bahan bakar di klaim sesuai dengan pemakaian tugas pekerjaan",https://www.loker.id/transportation-logistics/kurir/staff-kurir-driver-motor-kidsworld-play-and-learn-jakarta-pusat.html,"Posted Date: April 25, 2024"
"PT TOTAL SOLUSINDO MESIN","Sales Executive","Jakarta Barat",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM","PT TOTAL SOLUSINDO MESIN membutuhkan staff sales

Tanggung Jawab Pekerjaan :

Bertanggung jawab terhadap proses penjualan sesuai target yang sudah di tentukan dan penagihan penjualan yang disepakati bersama.

Keahlian :

Mampu bekerjasama dengan tim dan individu
Kemampuan komunikasi yang baik

Kualifikasi :

Pria dan Wanita
Pendidikan minimal SMA/SMK
Fresh graduated boleh melamar
Usia maksimal 35 tahun

Waktu Bekerja :
Jam 08:00 sampai 17:00",https://www.loker.id/ritel/asisten-ritel/sales-executive-pt-total-solusindo-mesin-jakarta-barat.html,"Updated:  April 29, 2024"
"PT INTINUSA MITRA SUKSES","Staff Administrasi","Jakarta Utara",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM","PT Intinusa Mitra Sukses yang bergerak dibidang pertambangan membutuhkan staff administrasi 

Tanggung Jawab Pekerjaan :

Menyusun dan merapikan arsip

Keahlian :

Menguasai microsoft office

Kualifikasi :

Pria /wanita yang berpengalaman minimal 1 thn

Waktu Bekerja :
senin sampai jumat 08:00 – 16:30, sabtu 08:00 – 12:00",https://www.loker.id/administrasi/staf-admin/staff-administrasi-pt-intinusa-mitra-sukses-jakarta-utara.html,"Posted Date: April 25, 2024"
"Platinum Digital Printing","Sales Admin Staff","Jakarta Pusat",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM","Platinum Digital Printing adalah perusahaan yang bergerak di bidang digital printing dan berdiri sejak tahun 2004. Adapun produk yang dihasilkan seperti kartu nama, brosur, flyer, kartu undangan, banner, berbagai macam sticker, albatros, duratrans, dan produk printing lainnya.
Platinum Digital Printing sedang berkembang secara pesat dan dilengkapi dengan mesin-mesin yang memiliki kualitas cetak terbaik dan teknologi mesin terkini.
Seiring dengan berkembangnya perusahaan, kami sedang membutuhkan karyawan di bagian Sales Admin Staff.

Tanggung Jawab Pekerjaan :

1. Mencari dan mengembangkan pelanggan baru
2. Mampu menyiapkan materi presentasi dan contoh produk yang dibutuhkan.
3. Memberikan surat penawaran kepada client/pelanggan
4. Melakukan follow up kepada client/pelanggan atas setiap surat penawaran
5. Menerima dan memproses setiap surat pesanan/purchase order dari pelanggan
6. Memastikan produk dikirimkan sesuai dengan waktu yang telah dijanjikan
7. Menerbitkan invoice, surat jalan dan semua dokumen yang dibutuhkan
8. Melakukan follow up penagihan setiap tagihan/invoice yang akan dan sudah jatuh tempo
9. Menyiapkan laporan penjualan dan tagihan harian, mingguan, bulanan, serta tahunan

Keahlian :

1. Menguasai Windows Microsoft Excel, Word, dan Power Point
2. Memiliki kemampuan komunikasi yang baik dan sopan kepada setiap pelanggan
3. Lebih diutamakan yang menguasai bahasa inggris baik lisan maupun tulisan
4. Menguasai aplikasi design seperti Photoshop atau AI atau Coreldraw
5. Mengerti Teknik Cetak Offset

Kualifikasi :

1. Pria/Wanita, Usia < 25 tahun, Jujur dan Teliti, Belum Menikah
2. Melakukan pekerjaan secara konsisten dan ketelitian secara berkesinambungan
3. Kreatif, sabar, dan sopan kepada setiap pelanggan
4. Komunikatif dan mampu memberikan solusi terbaik kepada pelanggan atas setiap masalah

Waktu Bekerja :
Hari Kerja : Senin – Sabtu, Jam 09:00 sd 18:30 WIB
Tunjangan :

1. Tunjangan Lembur
2. Tunjangan Uang Makan jika lembur > 2 Jam
3. Tunjangan Hari Raya (THR)

Insentif :

1. Insentif Kehadiran
2. Insentif pencapaian Target Penjualan",https://www.loker.id/administrasi/administrasi-penjualan/sales-admin-staff-platinum-digital-printing-jakarta-pusat-3.html,"Posted Date: April 25, 2024"
"Platinum Digital Printing","Kurir Staff","Jakarta Pusat",Negosiasi,"Junior / Entry Level","SMA / SMK / STM","Purna Waktu / Full Time","Platinum Digital Printing adalah perusahaan yang bergerak di bidang digital printing dan berdiri sejak tahun 2004. Adapun produk yang dihasilkan seperti kartu nama, brosur, flyer, kartu undangan, banner, berbagai macam sticker, albatros, duratrans, dan produk printing lainnya.
Platinum Digital Printing sedang berkembang secara pesat dan dilengkapi dengan mesin-mesin yang memiliki kualitas cetak terbaik dan teknologi mesin terkini.
Seiring dengan berkembangnya perusahaan, kami sedang membutuhkan karyawan di bagian Kurir dan Finishing. 

Tanggung Jawab Pekerjaan :

1. Bertanggung jawab setiap pekerjaan kepada Manager Oprasional.
2. Mengantarkan setiap dokumen dan barang dengan aman pada tempat dan waktu yang tepat.
3. Mengerjakan finishing produk percetakan.

Keahlian :

1. Menguasai jalan jabodetabek.
2. Memiliki sikap yang sopan dan ramah serta tidak mengecewakan setiap pelanggan.
3. Jujur, rajin, dan memiliki disiplin kerja yang baik.
4. Memiliki kesehatan jasmani yang baik.
5. Finishing produk percetakan seperti proses pengeleman, pemotongan, dan pengemasan

Kualifikasi :

1. Pria.
2. Usia: 17 – 25 tahun.
3. Memiliki Sim C.
4. Memiliki motor pribadi.

Waktu Bekerja :
Hari Kerja: Senin – Jumat, Jam 09:00 sd 18:30 WIB.
Tunjangan :

1. Uang Lembur.
2. Uang makan jika lembur > 2 jam.
3. Tunjangan Hari Raya (THR).
4. Bahan bakar di klaim sesuai dengan pemakaian tugas pekerjaan.
5. Service berkala kendaraan motor ditanggung oleh perusahaan.

Insentif :

1. Insentif Kehadiran (Absensi).",https://www.loker.id/transportation-logistics/kurir/kurir-staff-platinum-digital-printing-jakarta-pusat.html,"Posted Date: April 25, 2024"
"PT. Maxindo Mitra Solusi","Finance Staff","Jakarta Barat","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM","Tanggung Jawab Pekerjaan :

1. Support tim secara database
2. Membuat laporan mingguan dan bulanan tim
3. Melakukan penagihan
4. Mendata invoice dan membuat table piutang

Keahlian :

Ms Office

Kualifikasi :

1. Wanita, usia max 27 tahun
2. Lulusan min SMA sederajat
3. Domisilli Jakarta Barat (lebih diprioritaskan)
4. Pengalaman minimal 1 tahun

Waktu Bekerja :
Senin s/d Jumat 08.30 – 17.30",https://www.loker.id/akuntansi-keuangan/akuntansi-finansial/finance-staff-pt-maxindo-mitra-solusi-jakarta-barat.html,"Posted Date: April 24, 2024"
"PT.METRO FAVORIT CITRAABADI","Staff Accounting","Jakarta Barat","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1","PT. METRO FAVORIT CITRAAABADI adalah perusahaan di bidang Restoran yang membutuhkan Staff Accounting yang mengerti Sistem Akuntansi restoran

Tanggung Jawab Pekerjaan :

1. Menyusun Laporan Keuangan
2. Membuat Invoice
3. Membangun relasi dengan supplier

Keahlian :

Menguasai Microsoft Excell, Word, Accurate

Kualifikasi :

Wanita, Usia 20-30 tahun
Pengalaman minimal 3 tahun

Waktu Bekerja :
9.30-17.30",https://www.loker.id/akuntansi-keuangan/akuntansi-finansial/staff-accounting-pt-metro-favorit-citraabadi-jakarta-barat.html,"Posted Date: April 24, 2024"
"KOPERASI NUSA RAYA CIPTA","Staff Admin","Jakarta Utara","Rp.4 – 5 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1","Koperasi Nusa Raya Cipta didirikan pada tahun 2017 dan mulai beroperasi pada tahun 2018 yang bergerak dibidang koperasi simpan pinjam dan menyediakan bantuan modal kerja bagi para anggotanya. Saat ini kami membuka lowongan kerja untuk mengisi posisi sebagai Staff Admin

Tanggung Jawab Pekerjaan :

– Mengelola dan menjaga keakuratan data dan dokumen perusahaan, termasuk pengarsipan, pengolahan, dan penyimpanan dokumen
– Menyusun jadwal, mengatur pertemuan, serta mengirimkan undangan dan reminder kepada pihak terkait
– Mengelola inventaris kantor, melakukan pemesanan dan pembelian kebutuhan kantor yang diperlukan
– Berkoordinasi dengan staf administrasi/sekretaris divisi lain jika ada meeting gabungan atau kegiatan lainnya
– Menyiapkan memo, email, invoice, laporan, dan dokumen sejenis lainnya jika dibutuhkan

Keahlian :

– Mampu mengoperasikan Microsoft Office
– Memiliki pemahaman yang baik mengenai prosedur administrasi, termasuk pengelolaan dokumen dan penggunaan perangkat lunak kantor
– Memperhatikan detail dan ketelitian dalam menjalankan tugas-tugas administratif.
– Mempunyai komunikasi yang baik

Kualifikasi :

– Pria/Wanita
– Mempunyai pengalaman minimal 1 tahun di bidang admnistrasi
– Pendidikan minimal SMA/SMK
– Usia maksimal 35 tahun
– Bersedia ditempatkan di Jakarta, Tangerang, Bekasi, Cikarang, Indramayu, dan Cirebon",https://www.loker.id/administrasi/staf-admin/staff-admin-koperasi-nusa-raya-cipta-jakarta-utara.html,"Updated:  April 25, 2024"
"PT SUARA AGUNG","Staff Administrasi","Jakarta Timur",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1","PT Suara Agung didirikan pada tahun 2007 sebagai perusahaan yang bergerak dibidang penerbitan Al-Qur’an dan buku-buku islami. Saat ini kami sedang membutuhkan beberapa Staff Administrasi yang kompeten dibidangnya untuk penempatan wilayah Jakarta Timur

Tanggung Jawab Pekerjaan :

• Menyiapakan Faktur, Surat Jalan, dan Surat Retur
• Membuat Buku Kas Harian, Buku Besar Kas, dan Buku Bank
• Membuat Laporan Penjualan, Laporan Stock Gudang
• Menyiapkan Tagihan Customer
• Handle Customer by phone / whatsapp
• Budgeting pengeluaran bulanan rutin kantor dan bertanggung jawab terhadap realisasi anggaran yang dibuat.
• Membuat Laporan Penjualan Konsinyasi dan Stock Konsinyasi
• Follow Up Tagihan Pembayaran Piutang Konsinyasi
• Bertanggung jawab terhadap Surat Menyurat, seperti : Surat Masuk, Surat Keluar, Surat Penawaran, Surat Pesanan Order (PO), dan lain sebagainya

Keahlian :

• Menguasai Ms. Office
• Mampu Mengelola Social Media dengan Baik
• Menguasai dan mampu memonitoring Laporan Piutang (Laporan Umur Piutang dan Piutang per Pelanggan)
• Handle Customer E- Commerce (Shopee, Tokopedia, Lazada)
• Mampu membuat Laporan Penjualan E-Commerce
• Monitoring keuangan dan barang penjualan E-Commerce

Kualifikasi :

• Laki – laki / Perempuan, Usia max 25 Tahun
• Pendidikan min. SMA/SMK Sederajat
• Pengalaman minimal 2 tahun sebagai Staff Administrasi
• Bersedia ditempatkan di wilayah Jakarta Timur

Waktu Bekerja :
Senin-Jum’at , Jam 08.00 – 17.00 WIB",https://www.loker.id/administrasi/staf-admin/staff-administrasi-pt-suara-agung-jakarta-timur.html,"Posted Date: April 24, 2024"
