pt,title,lokasi,gaji,level,pendidikan,tipe_pekerjaan,description,link,post_date
"PT. Wira Arta Telematika","Network Security Engineer","Jakarta Barat","Rp.5 – 6 Juta","Junior / Entry Level","Sarjana / S1","Purna Waktu / Full Time","Tanggung Jawab Pekerjaan :

1.	Responsible for operation of network security equipment including upgrade, patch, and monitoring
2.	Installation, configuration, and maintenance of network security services and devices

Keahlian :

4.	Good verbal and writen communication skills (English and Bahasa)
5.	Strong troubleshooting skills and responsible for problem solving

Kualifikasi :

1.	Candidate must possess at least Bachelor’s Degree in Engineering (Computer/Telecommunication), Engineering (Electrical/Electronic), Computer Science/Information Technology or equivalent
2.	At least 2 years of working experience as L2 Network Security Engineer
3.	Have experience and certified on Fortinet, Palo Alto, Checkpoint and other network security product
4.	Able to work occasional overtime during the week and on weekends when required
5.	Willing to do business trip
6.	Work location in Jakarta

Waktu Bekerja :
Senin-Jumat 8.30-17.30",https://www.loker.id/information-technology/network-engineer/network-security-engineer-pt-wira-arta-telematika-jakarta-barat.html,"Posted Date: April 18, 2024"
RumahDimana.com,"WordPress Content Officer","Jakarta Timur",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1","Sebagai WordPress Content Officer sebuah  portal property yang sedang  berkembang pesat. Anda akan berperan  dalam membuat dan meng-update content, menjaga kestabilan sistem situs web, mengelola database properti dan user serta merawat Web security-nya.

Tanggung Jawab Pekerjaan :

•	Mengembangkan, memelihara, dan memperbarui tampilan situs WordPress secara komprehensif sesuai kebutuhan untuk memastikan stabilitas dan kinerja.
•	Periksa sistem monitoring  situs secara rutin dan segera respons setiap alerts atau masalah yang muncul, untuk memastikan optimalnya kinerja dan kesehatan situs.
•	Mengelola, meninjau dan follow up postingan listing properti online
•	Lakukan update  secara berkala pada situs web, termasuk WP core , theme, dan plugin, untuk memastikan situs tetap aman dan berfungsi setiap saat.
•	Mengelola database listing properti dan user : edit,  mensortir, mengekstrak data
•	Memposting artikel online  dan video
•	Menjaga performa dan loading speed situs web
•	Maintenance Hosting dan Domain
•	Mengelola web banner
•	Memoderasi chat dan comments di situs web
•	Membuat backlink
•	Memberikan laporan kerja mingguan kepada atasan

Keahlian :

•	Familiar dengan dan paham praktek Website security : mencari dan memperbaiki celah keamanan pada website tersebut
•	Pemahaman yang kuat dan pengalaman kerja memadai dengan WordPress, termasuk teknik pengoptimalan situs web, website security,  site migration. Fungsi-fungsi Word Press, themes serta plugins WordPress
•	Terbiasa menggunakan Hosting Control Panel Webuzo
•	Memahami dan familiar  SEO menjadi nilai plus
•	Memiliki kemampuan analisa yang solid dan mampu  mengantisipasi kondisi yang dapat mengakibatkan terjadinya bug dan error. Melakukan test berkala dan debugging 

Kualifikasi :

•	Usia antara 22 hingga 37 tahun
•	Pendidikan Minimal D3 jurusan Sistem Informasi / Teknologi  Komputer / Teknik Komputer dan sejenisnya.  Lulusan  S1 menjadi nilai plus,  terbuka untuk Fresh Graduate
•	Domisili di Jakarta Timur atau Bekasi Barat  lebih di sukai

Waktu Bekerja :
Jam 8.30 – 17.00 ; Senin s.d Jum’at
Insentif :

– Paket insentif yang menarik berdasarkan performance dan pencapaian target
– Peluang pelatihan dan pengembangan.
– Tunjangan Hari Raya",https://www.loker.id/information-technology/web-administrator/wordpress-content-officer-rumahdimana-com-jakarta-timur.html,"Posted Date: April 18, 2024"
"PT. DIGITAL NETCOM SOLUTION","Kordinator Teknisi Jaringan",Bekasi,"Rp.6 – 7 Juta","Supervisor / Coordinator",Diploma/D1/D2/D3,"Sarjana / S1","Senior Teknisi Jaringan Fiber To The Home (FTTH) yang bertanggung jawab dan mahir terhadap proses pemasangan jaringan koneksi internet baik dengan menggunakan kabel Fiber Optic (FO), konfigurasi Fiber To The Home (FTTH), kabel UTP, kabel FTP dan juga melakukan setting konfigurasi mikrotik, olt epon, olt gpon, modem ont dan modem onu. 

Tanggung Jawab Pekerjaan :

– Perancangan jaringan Fiber To The Home (FTTH)
– Melakukan monitoring aktivitas instalasi dan maintenance yang dilakukan oleh Teknisi sesuai dengan target dan kualitas yang sudah ditetapkan
– Memberikan dukungan teknisi melalui pemecahan masalah jarak jauh atau di tempat
– Memberikan solusi teknis untuk mendukung peralatan jaringan akses pelanggan
– Memberikan informasi dan memastikan layanan pelanggan bisa di gunakan dan tidak terkendala
– Memastikan pelanggan mengerti apabila terjadi kendala baik secara teknis atau non teknis
– Melakukan monitoring Perbaikan dan pemeliharaan jaringan koneksi internet termasuk didalamnya melakukan konfigurasi routing

Keahlian :

– Memiliki pengetahuan yang baik tentang Fiber Optic/GPON/OTN Network,Splicing
– Keahlian cabling jaringan komputer meliputi : memasang jenis-jenis kabel jaringan fiber optic, UTP dan FTP
– Keahlian merancang dan membangun jaringan komputer LAN dengan mempertimbangkan konsep ideal jaringan komputer.
– Keahlian melakukan perhitungan IP addressing seperti subnetting, dsb.
– Keahlian setting dan konfigurasi switch (switching).
– Keahlian setting dan konfigurasi router (routing) dan Fiber To The Home (FTTH)
– Keahlian setting dan konfigurasi OLT GPON dan OLT EPON.
– Menguasai Alat-Alat Fiber Optic seperti Splicer, OTDR , OPM, OLS dan lain lain.
– Menguasai LINUX/BSD/Mikrotik

Kualifikasi :

– Pria
– SMK Teknik Jaringan,
– Pendidkan D3 / S1 Jurusan Teknik Informatika
– Berpengalaman minimal 4 tahun sebagai Teknisi Jaringan Fiber To The Home (FTTH) dan JOINTER.
– Pengalaman bekerja di Internet Service Provider (ISP) lebih diutamakan Menguasai konsep dasar TCP/IP
– Memiliki sepeda motor dan SIM C
– Penempatan Bekasi

Waktu Bekerja :
Senin – Sabtu Jam 08.00 sd 17.30",https://www.loker.id/information-technology/network-engineer/kordinator-teknisi-jaringan-pt-digital-netcom-solution-bekasi.html,"Posted Date: April 16, 2024"
"PT. DIGITAL NETCOM SOLUTION","Teknisi Jaringan",Bekasi,"Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1","Bertanggung jawab terhadap proses pemasangan jaringan koneksi internet baik dengan menggunakan kabel Fiber Optic (FO), konfigurasi Fiber To The Home (FTTH), kabel UTP, kabel FTP, PTP Wireless (Radio) dan juga melakukan setting konfigurasi router serta modem.

Tanggung Jawab Pekerjaan :

– Melakukan aktivitas instalasi dan aktivasi kepada pelanggan
– Memberikan dukungan teknis kepada pelanggan melalui pemecahan masalah jarak jauh atau di tempat
– Memberikan solusi teknis untuk mendukung peralatan jaringan akses pelanggan
– Memberikan informasi dan memastikan layanan pelanggan bisa di gunakan dan tidak terkendala
– Memastikan pelanggan mengerti apabila terjadi kendala baik secara teknis atau non teknis

Keahlian :

– Memiliki pengetahuan yang baik tentang Fiber Optic/GPON/OTDR Network, Splicing
– Mengetahui fiber optik, troubleshoot, dll
– Memiliki pengetahuan atau pernah mengangani Fiber Optic, FTTH atau telekomunikasi / ISP
– Keahlian cabling jaringan komputer meliputi : membuat jenis-jenis kabel jaringan.
– Keahlian merancang dan membangun jaringan komputer Fiber To The Home (FTTH)
– Keahlian melakukan perhitungan IP addressing seperti subnetting, dsb.
– Keahlian setting dan konfigurasi switch (switching).
– Keahlian setting dan konfigurasi router (routing).
– Keahlian setting dan konfigurasi access point wireless.
– Memiliki keterampilan teknis dan komunikasi yang baik
– Bersedia bekerja shift dan mobile

Kualifikasi :

– Pria
– SMK Teknik Jaringan,
– D3 / S1 Jurusan Teknik Informatika
– Usia max. 35 tahun
– Berpengalaman minimal 1 tahun sebagai Teknisi Jaringan FTTH/Teknisi BTS Provider.
– Pengalaman bekerja di ISP lebih diutamakan Menguasai konsep dasar TCP/IP
– Menguasai LINUX/BSD/Mikrotik/Cisco
– Menguasai Wireless network Memahami Cisco Router, Catalyst, Trunking + VLAN
– Tidak takut ketinggian dan bisa memanjat tower
– Memiliki sepeda motor dan SIM C
– Penempatan JABODETABEK

Waktu Bekerja :
Jam 06.00 sd 18.00, 7 hari kerja per minggu
Tunjangan :

Uang Makan & Transport",https://www.loker.id/information-technology/network-engineer/teknisi-jaringan-pt-digital-netcom-solution-bekasi.html,"Posted Date: April 16, 2024"
"PT.Lensung Technology Indonesia","IT Consultant","Jakarta Barat","Rp.7 – 8 Juta","Manager / Assistant Manager","Sarjana / S1",Kontrak,"PT. Lensung Indonesia provides total solution services, from IT Infrastructure aspect: Hardware, Software, Networking, Cloud Computing, to the Business aspect for multi-sector industries. Lensung will propose the best available solutions that meet Clients needs and requirements regardless of the Brand of the Products.
We sincerely invite you to join our team and make our contribution to the development of the country’s industrialization through the IT solutions we provide. We believe that your professional abilities will be greatly improved here, and we hope that we can grow together and stay happy together.
We are looking for IT Consultants
The working venue is in Jakarta Barat
Working with a cross-functional Global Team
Fresh graduates are encouraged to apply (GPA＞3.5)

Tanggung Jawab Pekerjaan :

1.Maintaining awareness and understanding of current environment both on business and technique.
2.Obtaining deep understanding about context/background related with user’s requirements. Helping user detect problems and sort out needs.
3.Have architectural oversight to provide solutions, technical guidance and functional specifications based on business requirements.
4.Interact with prospective customers through executive meetings, discovery conversations, proposed solution demonstrations, executive presentations, and follow-up discussions.
5.Managing or executing specific project deliverables and scope to ensure project schedules & timelines are respected.

Keahlian :

1.Bachelor’s degree in Computer/Engineering/Science/Related.
2.Good to have knowledge in Software Development, Networking,Telecommunication, IT System, E-commerce Services.
3.Excellent verbal and written communication skills in Bahasa Indonesia, and fluent business level English in spoking and writing.
4.Critical Thinking, Fast Learning, Team Working and Strong Initiative.

Kualifikasi :

Bachelor’s degree in Computer/Engineering/Science/Related",https://www.loker.id/information-technology/help-desk-it-support/it-consultant-pt-lensung-technology-indonesia-jakarta-barat.html,"Updated:  April 19, 2024"
"PT ICP Cipta Prima","System Administrator","Jakarta Selatan",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"Master / S2","PT ICP Cipta Prima is part of Incenplus Marketing Group Sdn. Bhd. in Malaysia established since 1996. We specialize in creating and developing software solutions, especially Customer Relationship Management in web and mobile apps version.

Tanggung Jawab Pekerjaan :

Responsible for server setup, installation,and maintenance of application. Responsible for developing CI/CD pipeline and update the documentation.

Keahlian :

Experience in development using Github and CI/CD pipeline.
Experience in Microsoft Architecture.
Experience in Linux system management and containerization such as Linux, Docker, or similar software.
Experience in bash shell scripting.
Experience in setting up Web server for Web Development (Apache, Nginx, PHP)
Experience in SQL database server management, such as MySQL/ Postgresql.

Kualifikasi :

Have at least > 2 years experience and a portfolio as SysAdmin in the development team of a development fields.

Waktu Bekerja :
Jam 08.30 s/d 17.00 Senin s/d Jumat",https://www.loker.id/information-technology/system-administrator/system-administrator-pt-icp-cipta-prima-jakarta-selatan.html,"Posted Date: April 5, 2024"
"PT MEDIA BERSAMA SUKSES","IT Support",Surabaya,Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM","Tanggung Jawab Pekerjaan :

– Mampu memperbaiki perangkat keras yang rusak atau debugging perangkat lunak,
– Memantau sistem dan jaringan untuk mendeteksi potensi ancaman keamanan,
– Membantu mengatasi masalah teknis yang dialami oleh pengguna dan memberikan solusi dengan cepat,
– Pengecekan/ perbaikan/ pelaporan pekerjaan di lapangan setelah instalasi
– Install software yang dibutuhkan di lapangan sesuai dengan SOP perusahaan
– Troubleshooting hardware/ software problem dengan customer via onsite maupun remote
– Memantau kinerja sistem dan perangkat keras,

Keahlian :

– Menguasai sistem software dan hardware dengan baik
– Memahami sistem jaringan internet
– Memiliki pemahaman mendalam tentang prinsip-prinsip keamanan informasi, termasuk enkripsi, manajemen identitas, pengendalian akses, dan deteksi ancaman
– Memiliki Pemahaman Perangkat Keras (Hardware) & Perangkat Lunak (Software) dengan baik,

Kualifikasi :

Pria/ wanita
min usia 22 tahun
Min pengalaman di bidang IT 2 tahun
memiliki kendaraan sendiri

Waktu Bekerja :
Jam 8 sd 17 senin sd jumat. jam 8 sd 14 sabtu",https://www.loker.id/information-technology/help-desk-it-support/it-support-pt-media-bersama-sukses-surabaya.html,"Posted Date: Maret 28, 2024"
"KOPERASI NUSA RAYA CIPTA","IT Officer","Jakarta Utara","Rp.5 – 6 Juta","Junior / Entry Level","Sarjana / S1",Kontrak,"Koperasi Nusa Raya Cipta didirikan pada tahun 2017 dan mulai beroperasi pada tahun 2018 yang bergerak dibidang koperasi simpan pinjam dan menyediakan bantuan modal kerja bagi para anggotanya. Saat ini kami membuka lowongan kerja untuk mengisi posisi sebagai IT Officer

Tanggung Jawab Pekerjaan :

– Melakukan pengecekan hingga memperbarui sistem operasi dan aplikasi yang dijalankan oleh pengguna
– Memastikan bahwa setiap aplikasi yang digunakan bisa berjalan dengan baik
– Melakukan beberapa pengaturan pada browser yang sering digunakan
– Menjaga keamanan sistem dengan menggunakan tools seperti antivirus dan sejenis lainnya
– Melakukan backup secara berkala terhadap semua data perusahaan
– Memastikan bahwa setiap komputer yang digunakan bisa berkomunikasi dengan baik dan terhubung dengan sistem jaringan
– Melakukan pembaruan dan pengecekan terhadap aplikasi atau sistem operasi yang digunakan
– Memastikan setiap data yang ada di komputer tidak bisa diambil oleh orang lain tanpa izin yang bersangkutan

Keahlian :

– Keterampilan pemecahan masalah yang sangat baik dan detail
– Keterampilan komunikasi dan interpersonal yang baik
– Memiliki pengetahuan berbagai bahasa pemrograman (Oracle, PHP, Java dan Jaringan Komputer menjadi point plus)
– Familiar dengan PL/SQL, framework front-end mainstream

Kualifikasi :

– Pria/Wanita
– Usia maksimal 38 tahun
– Pengalaman minimal 2 tahun sebagai Software Engineer atau peran serupa. Pengalaman di bidang JasaKeuangan atau Perbankan lebih diutamakan
– Pendidikan S1 sederajad",https://www.loker.id/information-technology/help-desk-it-support/it-officer-koperasi-nusa-raya-cipta-jakarta-utara.html,"Updated:  April 4, 2024"
"PT. Sebastian Jaya Metal","Staff IT",Bekasi,"Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1","PT. Sebastian Jaya Metal adalah perusahaan yang memproduksi komponen kendaraan bermotor roda dua & empat. Kami saat ini membutuhkan Staff IT yang mampu menjalankan tugas yang diberikan oleh Leader dengan baik untuk penempatan di daerah Bekasi. 

Tanggung Jawab Pekerjaan :

– Membuat dan mendesain program
– Melakukan perubahan program sesuai perkembangan dan kebutuhan Perusahaan
– Melakukan pemasangan LAN (jaringan)
– Instalasi komputer
– Melakukan perbaikan dan pemeliharaan berkala peralatan IT
– Koordinasi dengan bagian lain terkait permasalahan IT

Keahlian :

– Menguasai bahasa program PHP, Data base SQL, Frame work codeigneter (memiliki keahlian Programming)
– Memiliki pengalaman membuat dan mendesign web
– Menguasai jaringan lokal dan internet (LAN/WAN)
– Mengerti troubleshooting, hardware, software
– Memiliki kemampuan analisa dan pemecahan masalah

Kualifikasi :

1. Laki-laki / Perempuan
2. Usia maksimal 27 Tahun
3. D3/S1 Jurusan Sistem Informasi/ Teknik Informatika
4. IPK minimal 2.75
5. Memiliki SIM A dan SIM C (lebih diutamakan)
6. Fresh Graduate/ pengalaman 1 thn dibidangnya

Waktu Bekerja :
Senin – Jumat : Jam 08.00 s/d 16.00, Sabtu : Jam 08.00 s/d 13.00
Tunjangan :

– Uang Makan
– Uang Transport
– BPJS Ketenagakerjaan

Insentif :

– Insentif Lembur (Overtime)",https://www.loker.id/information-technology/help-desk-it-support/staff-it-pt-sebastian-jaya-metal-bekasi-3.html,"Posted Date: Maret 21, 2024"
"PT. MELCOINDA","Staff Micro Controller",Bogor,"Rp.5 – 6 Juta","Junior / Entry Level","Master / S2","Sarjana / S1","PT. MELCOINDA perusahaan PMA jepang berlokasi di Sentul Bobor,  bergerak dibidang Elektronik.  membutuhan segera beberapa staff Microcontroller.  dengan memiliki keahlian sesuai bidangnya.  

Tanggung Jawab Pekerjaan :

	Membuat rangkaian modul
	Menguasai program Microcontroller

Keahlian :

	Mempunyai wawasan tentang IoT dan penerapannya di dunia industri
	Memahami rangkaian dan PCB
	Menguasai pemrograman Python

Kualifikasi :

Berpengalaman dibidangnya Minimal 2 th,  Fresh graduate tidak masalah.  Pendidikan minimal S1

Waktu Bekerja :
Jam 8.00 s/d 17.00    Senin s/Jumat",https://www.loker.id/information-technology/iot-engineer/staff-micro-controller-pt-melcoinda-bogor-2.html,"Posted Date: Maret 19, 2024"
"PT. FOKUS VISION TEKNOLOGI","Network Engineer",Tangerang,Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1","PT. Fokus Vision Teknologi merupakan perusahaan yang bergerak bidang IT, Security Surveillance dan Parking System. Kami saat ini sedang membutuhkan segera beberapa staff IT untuk networking dan computer troubleshooting

Tanggung Jawab Pekerjaan :

– Mendesign topologi jaringan
– Instalasi kabel network dan listrik
– troubleshooting
– Mandiri melakukan instalasi jaringan

Keahlian :

– Paham design topologi jaringan
– Paham Instalasi kabel network dan listrik
– Paham troubleshooting

Kualifikasi :

– Pria atau Wanita Max. 30 tahun
– Pendidikan min. SMA/SMK Sederajat, fresh graduate silahkan melamar
– Memiliki SIM C atau SIM A

Waktu Bekerja :
Jam 8.30 – 18.00 SENIN – SABTU",https://www.loker.id/information-technology/network-engineer/network-engineer-pt-fokus-vision-teknologi-tangerang-2.html,"Updated:  April 18, 2024"
"CYBERLINK NETWORKS","Teknisi Wireless",Bekasi,Negosiasi,"Supervisor / Coordinator",Diploma/D1/D2/D3,"Sarjana / S1","-Cyberlink Networks adalah perusahaan IT yang sedang berkembang pesat berdomisili di Kota Bekasi. Kami menyediakan Layanan High Speed Internet Access dan Solusi IT lainnya kepada berbagai perusahaan yang terletak di Jakarta, Bekasi, Cikarang dan sekitarnya.
-Untuk menunjung ekspansi bisnis Cyberlink Networks, saat ini kami mencari kandidat terbaik yang memiliki motivasi dan dedikasi tinggi terhadap pekerjaan untuk posisi Teknisi Wireless.

Tanggung Jawab Pekerjaan :

-Melakukan pemasang & konfigurasi radio antenna Point-to-Point
-Melakukan survey lokasi client sebelum dilakukan instalasi
-Melakukan rutin maintenance terhadap perangkat yang digunakan oleh Client.
-Membuat laporan pekerjaan sesuai dengan standard perusahaan.

Keahlian :

-Dapat mengkonfigur perangkat wireless seperti Ubiquity, Mikrotik, dan perangkat wireless lainnya.
-Dapat memanjat dan tidak takut ketinggian.

Kualifikasi :

-Jujur
-Disiplin
-Mau belajar & bekerja keras.
-Memiliki keinginan untuk maju & sukses
-Mampu bekerja secara team ataupun Individu

Waktu Bekerja :
N/A",https://www.loker.id/information-technology/network-engineer/teknisi-wireless-cyberlink-networks-bekasi.html,"Posted Date: Maret 18, 2024"
"CYBERLINK NETWORKS","Network Engineer ISP",Bekasi,Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1","-Cyberlink Networks adalah perusahaan IT yang sedang berkembang pesat berdomisili di Kota Bekasi. Kami menyediakan Layanan High Speed Internet Access dan Solusi IT lainnya kepada berbagai perusahaan yang terletak di Jakarta, Bekasi, Cikarang dan sekitarnya.
-Untuk menunjung ekspansi bisnis Cyberlink Networks, saat ini kami mencari kandidat terbaik yang memiliki motivasi dan dedikasi tinggi terhadap pekerjaan untuk posisi Network Engineer.

Tanggung Jawab Pekerjaan :

-Memonitor jaringan LAN dan WAN perusahaan.
-Memonitor status koneksi ke BTS dan Pelanggan.

Keahlian :

-Menguasai konfigurasi Mikrotik queue tree, simple queue
-Berpengalaman dalam mengkonfigur; static & dynamic routing, VLAN, Proxy, QOS, Firewall, VPN, menggunakan Mikrotik.
-Berpengalaman dalam hal monitoring & troubleshooting WAN, BTS, NOC Servers, routers, wireless networks, dll.
-Memiliki pengetahuan dalam hal BGP, OSPF, Web Server, Mail Server, Proxy Server, OpenVPN dan DNS merupakan nilai tambah.

Kualifikasi :

Pendidikan minimal SMA sederajad
Memiliki pengalaman kerja sebagai Network Engineer di ISP, Network Access Provider, atau IT Networking Company lebih diprioritaskan.",https://www.loker.id/information-technology/network-engineer/network-engineer-isp-cyberlink-networks-bekasi-2.html,"Updated:  April 18, 2024"
"PT. Atra Widiya Agung","IT Support","Jakarta Selatan","Rp.3 – 4 Juta","Junior / Entry Level","Sarjana / S1","Purna Waktu / Full Time","PT. Atra Widiya GAung berdiri sejak tahun 1981 dan mengkhususkan diri pada pengadaan peralatan medis. saat ini kami membuka lowongan kerja untuk mengisi posisi sebagai it support

Tanggung Jawab Pekerjaan :

–  Memeriksa dan memastikan semua komputer yang user pakai.
–  Memastikan semua komputer terhubung ke jaringan.
–  Memeriksa dan memastikan aplikasi yang digunakan user dapat berjalan sesuai dengan semestinya.
–  Melakukan update sistem operasi atau aplikasi secara berkala.
–  Membuat dan merangkai sistem jaringan dan kabel data
–  Menginstal konfigurasi antivirus demi keamanan komputer.
–  Memahami prinsip kerja hub, router, dan switch.
–  Memahami dasar jaringan kompter dan mengerti jaringan komputer yang digunakan
–  Membuat brosur pameran dll

Keahlian :

–  Menguasai jaringan komputer programmer
–  Mampu membuat konten medsos, menganalisa, dan mengelola campaign.
–  Menguasai grafis design dan pengeditan video
–  Memmahami prinsip SEO ) Search Engine Optimization) 

Kualifikasi :

–  Pria/ wanita max 40 thn
–  Berpengalaman di bidangnya minimal 2 thn
–  Lulusan S1 Teknik informatika atau SI
–  Bekerja dengan Jujur dan dapat dipercaya
–  Dapat diandalkan dan berinisiatif

Tunjangan :

Uang makan, transport

Insentif :

Uang lembur",https://www.loker.id/information-technology/help-desk-it-support/it-support-pt-atra-widiya-agung-jakarta-selatan.html,"Posted Date: Maret 15, 2024"
"PT SAWU INDONESIA","IT Staff",Cirebon,Negosiasi,"Junior / Entry Level","Sarjana / S1",Kontrak,"INSTALL APPLICATION SOFTWARE DISUPPORT DR PROGRAMMER JAKARTA

Tanggung Jawab Pekerjaan :

Menginstall software dan hardware di on-site Cirebon

Keahlian :

Mahir dalam instalasi komputer
Menguasai pemrograman web dan desktop
Menguasai cara setup jaringan dan troubleshoot

Kualifikasi :

Pria dan min 1 tahun di IT hardware dan software
Pendidikan S1 sederajad

Waktu Bekerja :
09.00 S/D 17.00",https://www.loker.id/information-technology/help-desk-it-support/it-staff-pt-sawu-indonesia-cirebon.html,"Posted Date: Maret 13, 2024"
"CV WESTON TEXTILE","Staff EDP ( Electronic Data Processing)","Bandung Kota","Rp.6 – 7 Juta","Junior / Entry Level","Sarjana / S1",Kontrak,"CV WESTON TEXTILE  sedang mencari Staff EDP ( Electronic Data Processing)

Tanggung Jawab Pekerjaan :

Membuat program yang sedang berjalandengan supervisor.
Menjamin kelancaran sistem informasi dan jaringan di dalam pabrik.

Keahlian :

Menguasai Programing PHP,MSQL,Delphi.

Kualifikasi :

Pengalaman minimal 1 tahun
Pendidikan S1 sederajad",https://www.loker.id/information-technology/network-engineer/staff-edp-electronic-data-processing-cv-weston-textile-bandung-kota.html,"Posted Date: Maret 13, 2024"
"PT. Tele Globe Global","Network Operation Center NOC",Bekasi,"Rp.6 – 7 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1","PT. Tele Globe Global adalah perusahaan yang bergerak di bidang Internet Service Provider yang sudah bertahun-tahun melayani dan membangun jaringan baik voice maupun data, dan lain sebagainya dan pelanggannya sudah tersebar di semua daerah. Saat ini kami membutuhkan tenaga Profesional Untuk Posisi Nework Operation Center (NOC). 

Tanggung Jawab Pekerjaan :

1. Melayani Trouble Internet dan Installasi Internet Client
2. Melayani Troble dan New Install Mail Server (ZIMBRA)
2. Report Hasil Kunjungan Client / Day
3. Mencari Data Client Baru
4. Maintenan Insfratruktur Internet

Keahlian :

– Bisa Dan Faham Setting Configurasi Router Mikrotik ( MTCNA )
– Bisa dan Faham Penanganan Troubleshooting Computer & Jaringan
– Bisa dan Faham Network Jaringan
– Menguasai System Linux (Debian, Centos, Dsb)
– Dapat Berkordinasi Dan Berkomunikasi Dengan Client Secara Baik

Kualifikasi :

1. Pria Minimum Usia 19 Thn & Max Usia 30 Tahun
2. Pendidikan Minimal SMA/SMK Sederajat
3. Mampu Bekerja Secara Tim dan Individu
4. Berpengalaman Dibidang Yang Sama Min 3 Tahun
5. Bersedia Ditempatkan Di Kantor Cabang
6. Di Utamakan Pernah Menangani Mail Server
7. Memiliki Kendaraan Pribadi dan Sim C

Waktu Bekerja :
Senin ~ Jum’at Jam 08:00 ~ 17:00, Sabtu Jam : 08:00 ~ 13:00
Tunjangan :

– Uang Tugas ke Luar Kota
– Fee Marketing 2%

Insentif :

– Uang Lembur
– Uang Stanby / Piket",https://www.loker.id/information-technology/network-engineer/network-operation-center-noc-pt-tele-globe-global-bekasi.html,"Posted Date: Maret 6, 2024"
"PT Persona Prima Utama","IT Manager","Jakarta Selatan","Rp.7 – 8 Juta","Manager / Assistant Manager",Diploma/D1/D2/D3,"Master / S2","Dibutuhkan Programmer/System analyst untuk dapat berkarya di PT Persona Prima Utama, Perusahaan Penyedia Alih Daya, yang merupakan  anak perusahaan Swadharma BNI.

Tanggung Jawab Pekerjaan :

Merancang, mengembangkan, dan Mengkoordinasikan Implementasi dari Proses Digital Transformasi di PT. Persona Prima Utama.

Keahlian :

1. Memiliki kemampuan Bekerja secara Tim
2. Menguasai Full stack development (phyton, sql, json, restAPI, android, web)
3. Menguasai Dasar Metode Agile Development
4. Akan menjadi nilai lebih jika telah memiliki pengalaman pengembangan aplikasi
5. Memahami Jaringan LAN dan WAN.

Kualifikasi :

1. Menempuh Pendidikan TI minimal Diploma
2. Memperoleh Dasar Metode Agile Development
3. Pengalaman di posisi terkait
4. Dapat berkomunikasi dalam Bahasa Inggris (Aktif/Pasif)

Waktu Bekerja :
Jam 8 – 17, Senin s/d Jumat
Tunjangan :

1. Fasilitas BPJS Kesehatan dan Ketenagakerjaan
2. Fasilitas Tunjangan Hari Raya Keagamaan
3. Uang Kompensasi",https://www.loker.id/information-technology/manajemen-it/it-manager-pt-persona-prima-utama-jakarta-selatan.html,"Posted Date: Februari 28, 2024"
"pt megasatria hiciter","IT Support","Jakarta Utara",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1","PT Megasatria Hiciter Bergerak dibidang Coding marking , Labelling Machine industrial membutuhkan sales engineer yang mampu memiliki kemampuan dalam hal penjualan dan skill khususnya dalam bidang industrial.

Tanggung Jawab Pekerjaan :

• Melakukan pekerjaan yang berhubungan dengan bagian staff IT dan IT Support
• Development & troubleshoot sistem
• Mendokumentasikan mulai dari perancangan sampai dengan manual book aplikasi
• Mengintegrasikan data dari beberapa sistem dan database ke mesin inket printer
• Terlibat di dalam project IT yang berhubungan dengan software

Keahlian :

– Handal dan menguasai troubleshooting hardware dan software
– Handal dan menguasai Windows, Linux, LAN, WAN, setting router
– Handal dan mampu merakit, memperbaiki Laptop, PC, Printer
– Handal menggunakan SQL Query dan PostgreSQL/Oracle database
– Memiliki pengetahuan dan pengalaman di alur bisnis proses perusahaan dagang dan manufaktur.
– Mengerti Windows Server, Memiliki kemampuan analisa system
– Memiliki pengetahuan tentang CMS (WordPress dan Joomla), HTML, OpenX, Google Analytics, CSS, javascript, jquery, Ajax, JSON

Kualifikasi :

• Pria dan Wanita
• Usia Maksimal 32 tahun
• Pendidikan Minimal D3 / S1 (Informatika)
• Mengerti dan menguasai Web / desktop / database / mobile programming
• Berdomisili di Jakarta
• Memiliki Pengalaman Bekerja Minimal 1 Tahun di Bidang yang sama (disukai), Fresh Graduate Wellcome

Waktu Bekerja :
jam 08.00 – 17.00  senin s/d Jumat
Tunjangan :

BPJS",https://www.loker.id/information-technology/help-desk-it-support/it-support-pt-megasatria-hiciter-jakarta-utara.html,"Posted Date: Januari 31, 2024"
